,accuracy,days_later,f1_score,name,window
33,0.585919540229885,7.0,0.7123202466991806,LinDisc,1.0
34,0.5798850574712644,7.0,0.7170504675479139,Deci_Tree_3,1.0
35,0.5910919540229885,7.0,0.6989241117372811,Deci_Tree_6,1.0
36,0.6063218390804599,7.0,0.6810878743456537,Deci_Tree_9,1.0
37,0.6563218390804598,7.0,0.7053764391965922,Deci_Tree_15,1.0
38,0.6646551724137931,7.0,0.7125215930834388,Deci_Tree_normal,1.0
39,0.5790229885057472,7.0,0.7161458014164656,Log_Reg,1.0
40,0.714367816091954,7.0,0.7513056501203643,Random_Forest_10,1.0
41,0.7445402298850574,7.0,0.7855582735851769,Random_Forest_20,1.0
42,0.756896551724138,7.0,0.7993806301629007,Random_Forest_30,1.0
43,0.7655172413793103,7.0,0.8086871672384159,Random_Forest_50,1.0
44,0.767816091954023,7.0,0.8136536813750528,Random_Forest_75,1.0
45,0.7824712643678161,7.0,0.824214857002319,Random_Forest_100,1.0
46,0.7801724137931034,7.0,0.8234931784077336,Random_Forest_150,1.0
47,0.781896551724138,7.0,0.8248110323060841,Random_Forest_200,1.0
48,0.6609195402298851,7.0,0.7373229054094318,Gradient_Boosting_100,1.0
49,0.6669540229885057,7.0,0.7384525368813206,Gradient_Boosting_120,1.0
50,0.6919540229885058,7.0,0.7556080999349895,XGB_30,1.0
51,0.7140804597701149,7.0,0.7685334881779236,XGB_50,1.0
52,0.7272988505747127,7.0,0.7766049078369127,XGB_70,1.0
53,0.7387931034482758,7.0,0.7861735172586022,XGB_100,1.0
54,0.6348201438848922,14.0,0.7609799975950449,SVC_rbf,1.0
55,0.6348201438848922,14.0,0.7609799975950449,SVC_normal,1.0
56,0.6184172661870504,14.0,0.7240266995695496,KNN_25,1.0
57,0.6117985611510791,14.0,0.7274470445558784,KNN_50,1.0
58,0.6028776978417266,14.0,0.7351576694081482,KNN_75,1.0
59,0.5968345323741007,14.0,0.7339643304206067,KNN_100,1.0
60,0.6138129496402878,14.0,0.7367787220634636,LinDisc,1.0
61,0.6258992805755395,14.0,0.7475781301370665,Deci_Tree_3,1.0
62,0.6460431654676259,14.0,0.7529765099085499,Deci_Tree_6,1.0
63,0.6733812949640287,14.0,0.745712220333053,Deci_Tree_9,1.0
64,0.7125179856115109,14.0,0.7623580506694266,Deci_Tree_15,1.0
65,0.7320863309352518,14.0,0.7784453539472083,Deci_Tree_normal,1.0
66,0.6169784172661871,14.0,0.747494565284762,Log_Reg,1.0
67,0.7858992805755396,14.0,0.8239845781754263,Random_Forest_10,1.0
68,0.8066187050359712,14.0,0.845069462055668,Random_Forest_20,1.0
69,0.8253237410071941,14.0,0.8622267010351754,Random_Forest_30,1.0
70,0.8270503597122303,14.0,0.8639264508198353,Random_Forest_50,1.0
71,0.832230215827338,14.0,0.869027074757032,Random_Forest_75,1.0
72,0.8405755395683453,14.0,0.8748012941445473,Random_Forest_100,1.0
73,0.8448920863309353,14.0,0.8784470508970799,Random_Forest_150,1.0
74,0.8457553956834533,14.0,0.8791585431739449,Random_Forest_200,1.0
75,0.7484892086330934,14.0,0.8086663893261374,Gradient_Boosting_100,1.0
76,0.7568345323741007,14.0,0.8139995755732606,Gradient_Boosting_120,1.0
77,0.7787050359712231,14.0,0.8277338696372845,XGB_30,1.0
78,0.8066187050359712,14.0,0.8465882650186864,XGB_50,1.0
79,0.8201438848920863,14.0,0.8562034794817626,XGB_70,1.0
80,0.8328057553956836,14.0,0.865663454212455,XGB_100,1.0
81,0.6695526695526696,21.0,0.7836562008895166,SVC_rbf,1.0
82,0.6695526695526696,21.0,0.7836562008895166,SVC_normal,1.0
83,0.6724386724386724,21.0,0.7704880006463084,KNN_25,1.0
84,0.6354978354978356,21.0,0.7551292314417047,KNN_50,1.0
85,0.6386724386724387,21.0,0.7642981203864085,KNN_75,1.0
86,0.6303030303030303,21.0,0.7607758595281156,KNN_100,1.0
87,0.645021645021645,21.0,0.7585760824835013,LinDisc,1.0
88,0.662049062049062,21.0,0.7564315517634557,Deci_Tree_3,1.0
89,0.6903318903318904,21.0,0.7792086300831982,Deci_Tree_6,1.0
90,0.7128427128427128,21.0,0.7846252514733012,Deci_Tree_9,1.0
91,0.7607503607503607,21.0,0.8110178905255658,Deci_Tree_15,1.0
92,0.7624819624819625,21.0,0.8107557537497707,Deci_Tree_normal,1.0
93,0.6432900432900434,21.0,0.7670338067213758,Log_Reg,1.0
94,0.8170274170274171,21.0,0.8544354210830966,Random_Forest_10,1.0
95,0.8412698412698413,21.0,0.8766352746940893,Random_Forest_20,1.0
96,0.8435786435786436,21.0,0.878915858584009,Random_Forest_30,1.0
97,0.8505050505050505,21.0,0.8852931129042982,Random_Forest_50,1.0
98,0.8565656565656565,21.0,0.8906215693799858,Random_Forest_75,1.0
99,0.8623376623376622,21.0,0.8945601054902731,Random_Forest_100,1.0
100,0.8658008658008658,21.0,0.8971010449566428,Random_Forest_150,1.0
101,0.866089466089466,21.0,0.8972286176963271,Random_Forest_200,1.0
102,0.7665223665223666,21.0,0.827672345711399,Gradient_Boosting_100,1.0
103,0.7786435786435787,21.0,0.8352168845621547,Gradient_Boosting_120,1.0
104,0.8274170274170274,21.0,0.8683295873719823,XGB_30,1.0
105,0.8467532467532468,21.0,0.8821097317320625,XGB_50,1.0
106,0.8571428571428571,21.0,0.8893123560996262,XGB_70,1.0
107,0.86002886002886,21.0,0.8915731461689831,XGB_100,1.0
108,0.5242467718794834,1.0,0.6305162682600494,SVC_rbf,2.0
109,0.5242467718794834,1.0,0.6305162682600494,SVC_normal,2.0
110,0.5110473457675753,1.0,0.566811109004077,KNN_25,2.0
111,0.5113342898134864,1.0,0.5614701236747756,KNN_50,2.0
112,0.5228120516499283,1.0,0.6019751627433086,KNN_75,2.0
113,0.5124820659971305,1.0,0.5915297560397974,KNN_100,2.0
114,0.5098995695839311,1.0,0.5815312745342607,LinDisc,2.0
115,0.5044476327116213,1.0,0.596752258613903,Deci_Tree_3,2.0
116,0.4998565279770445,1.0,0.5825867199509306,Deci_Tree_6,2.0
117,0.5073170731707318,1.0,0.5368178840096144,Deci_Tree_9,2.0
118,0.5047345767575323,1.0,0.511206897253844,Deci_Tree_15,2.0
119,0.5113342898134864,1.0,0.5290584296206448,Deci_Tree_normal,2.0
120,0.520803443328551,1.0,0.5984312480304791,Log_Reg,2.0
121,0.4981348637015782,1.0,0.4796103832051751,Random_Forest_10,2.0
122,0.5179340028694404,1.0,0.5252544980771594,Random_Forest_20,2.0
123,0.5317073170731706,1.0,0.5503880659822968,Random_Forest_30,2.0
